Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Public sector wage premium for females, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for females, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium, by gender (compared to all private employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.672200262546539,0.636124730110168,0.8730588555336,0.901760995388031,0.417203783988953,,0.0697985664010048,0.335238099098206,0.44482833147049,0.498113691806793,0.694148898124695,0.467932134866714,0.337468981742859,0.308532893657684,0.251403361558914,0.535155832767487,0.986090292533234,0.681057780761785,0.6808137637715674,0.41509198762700716,0.03065403799216071,0.12174495061238133,0.9203036228815904,-0.8588093320528856,,0.238862469792366,0.646177887916565,0.523789644241333,0.683478116989136,0.590172350406647,0.573002874851227,0.515867114067078,0.471308320760727,0.409165412187576,-0.14988857002860367,-0.22355896917772888,-2.4687011142571578,-2.4687011142571578,-0.16871928892184762,-0.14347608447523408,-0.1488319537536955,-0.15166524397988113,-0.16338469387636945,-0.1864525122932852,0.1459594628628782,-0.0016452772885107159,-3.997703891354263,-3.997703891354263,5.1872664294433976e-08,-0.01990339198306046,0.005790544162699973,5.037042811705406e-06,0.004604781575779704,-0.003656201901286238,0.4147219081667828,0.1174681606001684,-3.997703891354263,-3.997703891354263,0.500190855782904,0.43628693194254,-3.997703891354263,-3.997703891354263,0.0789117440581322,0.298769503831863,0.20944356918335,0.237288162112236,0.149680063128471,0.643630615684101,0.4328464610221765,-1.731975739200891,0.12779871622721295,,0.204130724072456,0.424567967653275,0.578673303127289,0.565805315971375,0.07059513609794266,0.07372880146619121,-2.4687011142571578,-2.4687011142571578,-0.00935353573184372,-0.022673119872070657,-2.4687011142571578,-2.4687011142571578,0.431813150644302,0.0288723353296518
Bolivia,0.802543461322784,0.742285668849945,0.821359515190125,0.858186006546021,0.298663347959518,0.569443464279175,0.362788528203964,0.354027062654495,0.455360442399979,0.327879875898361,0.478930741548538,0.363161712884903,0.263327598571777,0.160181030631065,0.21361418068409,0.448522597551346,0.37578680467744796,0.5837490843891633,0.6844761100260666,0.3200926588203217,0.14692093071560386,,0.573472678661346,0.602019429206848,0.593429923057556,0.485862106084824,0.362695157527924,0.54105418920517,0.457628726959229,0.572731912136078,0.45846825838089,0.483088940382004,0.437253445386887,0.294486433267593,-0.1929208712601591,-0.17245123528146955,-0.10029487311840057,0.10358335077762604,-0.1324096963331396,-0.1351744080042092,-0.15151475627312344,-0.12471804198182035,-0.2863085371684937,,0.08065746018684905,0.2812463767311968,0.5466638803482056,0.755040479823947,0.06671282474802354,0.007100219601737123,0.060778408354792646,0.07771148888760138,0.132609391363939,,0.044368005579642045,0.035112418247699395,0.030029326321610483,0.09351383949672254,0.14145892928807413,0.1677723226322314,0.036731342603435024,0.3414562977695823,3.89727627947423e-09,0.329861730337143,0.204917296767235,0.101254537701607,0.085406593978405,0.794831400135612,0.6731886409136116,0.496080756187439,0.81747567653656,0.313366264104843,0.233365327119827,0.386718064546585,0.641460955142975,0.338529795408249,0.21131235927865788,0.28880510035655504,0.40841904437146326,0.3858304662838634,0.13402896158484268,0.2040666807660334,0.46426345466701946,0.1152269131459569,0.279026806354523,0.147317260503769
Brazil,0.759454548358917,0.79666668176651,0.712116837501526,0.749999940395355,0.428392678499222,0.646082103252411,0.0092557836323976,0.396153151988983,0.547874093055725,0.378073364496231,0.568148493766785,0.505489826202393,0.451908260583878,0.320407688617706,0.282491445541382,0.582069575786591,,0.795247197151184,0.754460632801056,0.396361887454987,,,0.812711596488953,0.688603341579437,0.601448893547058,0.036950845271349,0.458252251148224,0.743149995803833,0.644779086112976,0.665118932723999,0.637523114681244,0.615391612052917,0.55666571855545,0.43045100569725,-0.279010623693466,-0.279010623693466,-0.289491593837738,-0.278069972991943,-0.318948805332184,-0.223789513111115,-0.223789513111115,-0.318948805332184,-0.318948805332184,-0.318948805332184,3.7741332682642e-29,3.7741332682642e-29,7.94432750694796e-08,6.07926523791408e-14,0.0,9.39734540591981e-34,9.39734540591981e-34,0.0,0.0,0.0,0.0077355522662401,3.7741332682642e-29,0.0008986355969682,0.0034599029459059,0.0974355712532997,3.7741332682642e-29,0.875346899032593,0.992249429225922,0.0,0.234251707792282,0.141347333788872,0.168188095092773,0.0900861322879791,0.722386717796326,0.484965354204178,0.526186168193817,0.760574221611023,0.193484097719193,0.0973964035511017,0.233299657702446,0.608905494213104,0.496922314167023,0.0500497296452522,-0.279010623693466,0.142218559980392,0.0754197314381599,-0.0518952719867229,-0.279010623693466,0.0121002783998847,-0.0004459893971215,0.178876683115959,0.204945921897888
Chile,0.76484477519989,0.773838579654694,0.720865547657013,0.800000011920929,0.429602712392807,0.642999112606049,0.507475078105927,0.389011442661285,0.483483612537384,0.47090283036232,0.58275043964386,0.43457493185997,0.41346663236618,0.341504126787186,0.328718662261963,0.560328662395477,0.520944356918335,0.750333428382874,0.702070593833923,0.413817524909973,0.238500893115997,0.579146921634674,0.698978543281555,0.659583628177643,0.727438628673553,0.499081492424011,0.333059728145599,0.629151105880737,0.661720156669617,0.665001094341278,0.620939970016479,0.527941823005676,0.546451926231384,0.413995057344437,-0.186706617474556,-0.306341081857681,-0.275074183940887,-0.0727567672729492,-0.203586041927338,-0.161093905568123,-0.268027544021606,-0.246530711650848,-0.132344156503677,0.0841749757528305,5.34722916986641e-12,1.07318047781746e-08,0.0003942537587136,0.0684275403618813,2.26610592270193e-12,1.45786085425925e-08,1.68926385466645e-12,4.54775760002737e-28,0.0014157477999106,0.549425065517426,0.0053695342503488,0.0113312369212508,0.0148539217188954,0.0569394826889038,0.0272620487958193,0.997614026069641,0.0005349981947802,0.60930210351944,8.819335777755039e-36,0.202060133218765,0.130172297358513,0.156924173235893,0.0968939960002899,0.451664000749588,0.543388247489929,0.535023152828217,0.496917426586151,0.193001836538315,0.0737105682492256,0.133012816309929,0.431099474430084,0.3735631108284,-0.0543742030858994,0.0856827422976494,0.19057309627533,-0.0543008595705032,-0.0793163031339645,-0.0001942891831276,0.320344537496567,-0.0253833048045635,0.171538054943085,0.191020518541336
Colombia,0.87963330745697,0.917369484901428,1.0008111000061,0.973603367805481,0.425822973251343,0.572782397270203,0.0919607579708099,0.60363382101059,0.504774272441864,0.571424782276154,0.5628901720047,0.413797616958618,0.423836827278137,0.359115391969681,0.370333671569824,0.485816210508347,,0.603458404541016,0.699028670787811,0.353819698095322,-0.34838391840457916,,,,0.648002922534943,0.0740189328789711,0.604223728179932,0.401035815477371,0.589432775974274,0.500808358192444,0.506511449813843,0.431511402130127,0.501211404800415,0.487836003303528,-0.297693073749542,-0.254224002361298,,,,-0.0663740113377571,-0.307365626096725,-0.0407040044665337,-1.188756301999092,-1.188756301999092,1.34015392216299e-27,2.97284774162472e-36,,,,1.92883999261539e-05,6.127103824304921e-10,0.129883602261543,-2.034766926895827,-2.034766926895827,0.0,7.62546684042089e-19,,,2.04793648705959e-09,5.39452157681808e-05,,,0.0,0.089831605553627,0.071900449693203,0.0452103391289711,0.0345892496407032,0.468719601631165,0.0913148820400238,,,0.0053719626739621,0.0094270622357726,0.473538219928741,0.0909564271569252,0.0924550667405128,0.6228266954422,0.329509913921356,,,0.282784163951874,0.317130893468857,,,0.822262227535248,0.492405563592911
Costa Rica,0.758405327796936,0.818062722682953,0.996105670928955,1.04816794395447,0.382269382476807,0.473702043294907,0.423400968313217,0.208520293235779,0.449647843837738,0.325240522623062,0.570530593395233,0.394034534692764,0.342085242271423,0.302814245223999,0.282418549060822,0.516263544559479,0.44071060516874105,0.697030127048492,0.581962943077087,0.41854265332222,0.2397202141975101,0.5167425152502565,0.7277246111317677,0.586198867622175,0.622315645217896,0.394139558076859,0.427401006221771,0.65527069568634,0.455197960138321,0.511369466781616,0.435591578483582,0.476873695850372,0.551939308643341,0.474648177623749,-0.320315331220627,-0.269368022680283,0.22953601966622017,0.3349391367090355,-0.0687974765135273,-0.130157828330994,-0.234618529677391,-0.082304909825325,-0.00785204027044184,-0.16838365314822568,0.0014218669384717,0.0015210739802569,0.4582135681343331,0.5342733572188187,0.2889549354624563,0.0017256911378353,0.0002981972065754,0.0384984910488129,1.1316514544581366,0.5545238407034627,4.319161917010211e-09,1.77281245239413e-10,0.16460387942277777,0.10974456723166526,0.0116679882630706,4.60797821233427e-07,0.07746513462380022,-0.13061243233570963,0.0,0.243530571460724,0.157304316759109,0.191447734832764,0.116630285978317,0.785750150680542,0.585845708847046,0.5611251253830787,0.8001349951091568,0.278956711292267,0.0553069859743118,0.543088495731354,0.700999855995178,0.357280552387238,0.597929239273071,0.727370858192444,0.3433440845978737,0.42563027805207554,0.301445543766022,0.71708732843399,0.5316088930164469,1.2278435289467637,0.929713547229767,0.516216099262238
Dominican Republic,0.768636584281921,0.728387951850891,1.28946447372437,1.2955127954483,0.449706435203552,0.587929308414459,0.57519257068634,0.575417757034302,0.501073241233826,0.417462021112442,0.615905523300171,0.517063438892365,0.469804257154465,0.320637226104736,0.321664661169052,0.52724152803421,0.509289085865021,0.716531753540039,0.752394616603851,0.36103293299675,0.268016397953033,0.9097848811843363,0.812963426113129,0.718937754631042,0.717538833618164,0.533165812492371,0.567493855953217,0.754931509494781,0.580547511577606,0.408685982227325,0.518685638904572,0.458227217197418,0.623707950115204,0.634457409381866,-0.472838550806046,-0.274610906839371,0.301527440547943,-0.291391760110855,-0.220019236207008,-0.193196401000023,0.0408687330782413,-0.112172558903694,-0.055955421179533,-2.137259665876627,0.000116493407404,0.023289181292057,0.100484237074852,0.0527424588799477,0.255391985177994,0.000350290996721,0.681505143642426,0.389960587024689,0.630999743938446,-1.1662306785583496,1.6522089252291e-09,0.0112828351557255,0.100484237074852,6.81121113173416e-18,0.954063951969147,0.153521180152893,0.100484237074852,0.3058183301351036,1.22779919564664e-08,0.241946294903755,0.189544975757599,0.170033410191536,0.0888664126396179,0.67434173822403,0.590839087963104,0.703304409980774,0.748602092266083,0.154452100396156,0.1557237803936,0.256231188774109,0.648898184299469,0.321898907423019,0.900747656822205,0.309676080942154,0.301527440547943,1.64760458469391,-0.0071276552043855,-0.158689975738525,0.301527440547943,-0.03459112591427527,0.12790721654892,-0.216885611414909
Ecuador,0.894107699394226,0.900000035762787,0.90603107213974,0.975510358810425,0.325661808252335,0.544459104537964,0.29772275686264,0.530942320823669,0.497858047485352,0.518290400505066,0.385107189416885,0.36476919054985,0.333115547895432,0.26387944817543,0.269219070672989,0.444376915693283,0.400370657444,0.618866086006165,0.710388600826263,0.302159458398819,0.142139062285423,0.740619599819183,0.647537708282471,0.69958758354187,0.542727470397949,0.176374018192291,0.405950456857681,0.537914037704468,0.669880270957947,0.451202034950256,0.432664811611176,0.529998123645782,0.462735235691071,0.34991192817688,-0.204983845353127,-0.0241594221442938,-0.216597929596901,-0.258107095956802,-0.0812596008181572,-0.0523749925196171,-0.0949810370802879,-0.131084889173508,-0.133585691452026,-0.128369465470314,0.006952210329473,0.847487926483154,0.268133580684662,0.001796479569748,0.0345353335142136,0.0639759972691536,0.152736097574234,0.0003795162192545,0.208454072475433,0.470252513885498,4.2055569096643985e-12,1.83366155592779e-10,0.541593611240387,2.11850398335045e-10,0.0296748951077461,0.0028566468972712,0.265705645084381,0.160699516534805,0.0,0.220610424876213,0.145969659090042,0.106851503252983,0.0896018296480179,0.673241913318634,0.567535638809204,0.758846998214722,0.726109862327576,0.184396609663963,0.023781007155776,0.0671820193529129,0.595577478408813,0.502889215946198,0.41172394156456,0.515747249126434,0.110399559140205,0.412105470895767,0.172548145055771,0.613139867782593,0.167189344763756,0.123650580644608,0.487292528152466,0.423454105854034
Guatemala,0.863176749569937,0.8411484124053121,0.8890181523836076,0.9490012923876443,0.2794470470449144,0.44408604450180533,0.24411350038397295,0.2985902289307214,0.4837541607660327,0.41709334469907766,0.4112375153274073,0.2328020745540047,0.22348849079634725,0.2605070599372472,0.24713413663672812,0.4792650678778081,,0.6455673004363796,0.6334072816502916,0.2876197181262441,,,,,0.523405000890496,0.2971567953747467,0.30118390226995706,0.6189848623947736,0.4809245398909745,0.4817643410306651,0.5190821932098739,0.5505892089631175,0.4502476050104187,0.38748708276487065,-0.16908633231476566,-0.23595591008544048,,,-0.0870075087525013,-0.07009006616520885,-0.15010247780726615,-0.1325334118498671,-0.0870075087525013,-0.0870075087525013,0.1980847128032881,0.0369168635063275,,,0.441783442917302,0.1823287958262494,0.45745276419778946,0.15492190857539612,0.441783442917302,0.441783442917302,-0.0013021737094582875,0.22748282149216514,,,0.007893365136283137,0.21194726442332001,,,0.0005977397389698574,0.15863923377137823,0.07335282392739284,0.08077131910880642,0.04665630204264867,0.6285697385504996,0.4615591993996434,,,0.1697573991325818,0.022409026916100916,0.214820257491537,0.6285161025075077,0.2863477192677788,0.6131443976462805,0.19450898440955022,,,0.5013759432883376,0.15902985889952115,,,0.5927883061128583,0.37256168796198885
Honduras,1.08058786392212,1.17556393146515,0.900291800498962,0.966111123561859,0.305479109287262,0.511309146881104,0.276773869991302,0.464205145835876,0.532964706420898,0.366732031106949,0.240114793181419,0.261246144771576,0.338431894779205,0.344625383615494,0.328662663698196,0.533001899719238,0.477057993412018,0.644443035125732,0.711804747581482,0.449545204639435,0.343304067850113,0.347907543182373,0.623727142810822,0.6638577478496686,0.625555992126465,0.523600995540619,0.545604765415192,0.648533523082733,0.571069061756134,0.586242258548737,0.525202512741089,0.571030080318451,0.546711683273315,0.429730802774429,-0.0854404121637344,0.114222921431065,-0.7210575143496101,0.0298909973353148,-0.0709956511855125,-0.123133637011051,-0.0961522161960602,-0.102363534271717,-0.157820463180542,-1.0229557346341664,0.347093343734741,0.554336905479431,0.9485762721548383,0.883351981639862,0.420939147472382,0.0317510291934013,0.218208163976669,0.168257907032967,0.178906887769699,0.34970556579108525,0.0243080947548151,0.650720596313477,0.7259043753147267,2.33901264437009e-05,0.0186825431883335,0.0651309117674828,0.9485762721548383,0.0311687085777521,4.54212666235247e-27,0.213364347815514,0.0946355387568474,0.0890829488635063,0.046800434589386,0.676017284393311,0.773248672485352,0.763826012611389,0.719102442264557,0.307263314723969,0.0785500481724739,0.327764451503754,0.647290468215942,0.518249988555908,0.215750634670258,0.0538385547697544,-0.25284284725785255,0.553709328174591,0.287065804004669,0.361118763685226,-0.7210575143496101,0.638790488243103,0.40559720993042,0.563266634941101
