Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Public sector wage premium for females, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for females, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium, by gender (compared to all private employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.691736042499542,0.637354791164398,0.862832903862,0.848919272422791,0.432795733213425,,0.079737164080143,0.369937658309937,0.451055139303207,0.480423152446747,0.723029971122742,0.461817353963852,0.365984886884689,0.323763251304626,0.277392417192459,0.535433053970337,1.0233276983102115,0.6731740375226991,0.6794429817725982,0.4166850551015959,0.01635934660832561,0.08562364180882298,0.9527660260598054,-0.9424014488856187,,0.345558434724808,0.57354199886322,0.532881081104279,0.647914052009583,0.616626083850861,0.587818205356598,0.514604985713959,0.479478567838669,0.432088643312454,-0.14600789024180028,-0.21711735685533462,-2.6280990031858096,-2.6280990031858096,-0.1649313747268364,-0.14440432618991972,-0.1469230295747619,-0.1457127006954977,-0.16203823493620773,-0.1833163761562595,0.1521711966627901,-0.0027579840482516715,-4.298096016163413,-4.298096016163413,2.9486527163204862e-08,-0.030570901735565315,0.003665229362423972,3.837859232162007e-06,0.003584598854769805,-0.019605761289454904,0.4332090490033593,0.0812034052584778,-4.298096016163413,-4.298096016163413,0.5172238561994433,0.44723335229187455,-4.298096016163413,-4.298096016163413,0.0496049933135509,0.289758235216141,0.212657183408737,0.227861642837524,0.148780047893524,0.6409058468397646,0.42464613362299275,-1.8767312554021487,0.128897948811451,,0.169698610901833,0.394118160009384,0.566113770008087,0.526034533977509,0.0792013183292184,0.0763461772969185,-2.6280990031858096,-2.6280990031858096,-0.0002657673596146992,-0.012586909989021677,-2.6280990031858096,-2.6280990031858096,0.420811742544174,0.0357637442648411
Bolivia,0.730796575546265,0.685714364051819,0.836444318294525,0.888888895511627,0.336282908916473,0.572639644145966,0.429362177848816,0.366366803646088,0.493476957082748,0.346178621053696,0.571400761604309,0.398861885070801,0.280799210071564,0.21617765724659,0.200172051787376,0.483648121356964,0.409061461687088,0.58293741941452,0.655718624591827,0.342213183641434,0.173742234706879,,0.599892556667328,0.632383227348328,0.551221549510956,0.527975380420685,0.319561183452606,0.580292522907257,0.431559592485428,0.607486188411713,0.505188047885895,0.47027850151062,0.472382724285126,0.36190065741539,-0.206969618797302,-0.265325933694839,-0.0996604636311531,-0.105120770633221,-0.129202172160149,-0.146915957331657,-0.139128684997559,-0.122479200363159,-0.110597290098667,,0.0078082159161567,0.0106724062934518,0.576990604400635,0.382664203643799,0.0087620541453361,1.19231417556875e-05,0.0280001666396856,0.0030002538114786,0.18215511739254,,0.0011177513515576,2.57392713365334e-07,2.85508917841071e-06,0.0148173663765192,0.0200825724750757,0.148020058870316,0.0169200077652931,0.175607800483704,2.85904300234563e-09,0.347528010606766,0.223671853542328,0.10838583111763,0.0876107662916183,0.793931543827057,0.678187906742096,0.694521725177765,0.836447954177856,0.287664294242859,0.206872627139091,0.346512615680695,0.7336585521698,0.331652402877808,0.253969788551331,0.43295481801033,0.533002436161041,0.242414757609367,0.175383925437927,0.182320892810822,0.551288664340973,0.146379977464676,0.415401458740234,0.147136703133583
Brazil,0.769472420215607,0.77952241897583,0.714929223060608,0.690051794052124,0.443936794996262,0.614388048648834,0.006402034078119012,0.430974066257477,0.562604904174805,0.425086140632629,0.564628720283508,0.53966611623764,0.451606512069702,0.336866140365601,0.318863034248352,0.575585663318634,,0.7905494197664682,0.7586668654075255,0.4151158112164932,,,0.799791634082794,0.691603541374207,0.61989039182663,-0.059213399545143375,0.483739644289017,0.730900943279266,0.604670822620392,0.659152626991272,0.650534451007843,0.606492936611176,0.534907639026642,0.423989534378052,-0.252575432487232,-0.2585318273160091,-0.3355740649324437,-0.29947516169681787,-0.31284779386430284,-0.2157500518890738,-0.21721429056412944,-0.31284779386430284,-0.31284779386430284,-0.31284779386430284,9.159928336285488e-26,9.159928336285488e-26,-2.1039247917855122e-06,-1.7420106549014382e-06,0.0,-1.2104449074972095e-28,-1.2104449074972095e-28,0.0,0.0,0.0,0.12121622648683683,8.407309002790536e-12,0.014486409473159156,0.1015928837691007,0.0040550213307142,0.08479503991539161,0.7942242407495144,0.6652586403362761,0.0,0.221804276108742,0.143679395318031,0.164407476782799,0.0917028412222862,0.7334767411349237,0.46761098121390754,0.473636388778687,0.716157138347626,0.224704131484032,0.073452852666378,0.18312069773674,0.565180838108063,0.407633811235428,0.07452660612276674,-0.16177209894928168,0.13505377387166884,0.13890385324374677,-0.438681900501251,-0.18908306326884983,0.02546921474670949,0.0030028429882484886,0.163233458995819,0.232674241065979
Chile,0.7600179816293791,0.7889273851772884,0.7849812814800341,0.8229883421507327,0.43269022682949476,0.6433731225079988,0.5004295193513499,0.3769598216636929,0.5020391013298751,0.49672870499251864,0.6093769246330183,0.4342451193557988,0.4098770913091734,0.3253025624401541,0.3419582137961372,0.5699594100284262,0.4995607838034637,0.7456811822480454,0.7277827191255728,0.42083372831223187,0.23653586581349373,0.4994797348976121,0.7155167613710678,0.6689956205231802,0.7518296489711709,0.5200946204280115,0.2963490689342671,0.6523764513806114,0.6430724887643748,0.6840721086413879,0.6027761319342257,0.5247408912091345,0.5785422202362156,0.45018923277808653,-0.18624200055041662,-0.3096000704799984,-0.23382919920972078,-0.10187020009526826,-0.22293341283996781,-0.05559987943733802,-0.23095031175311043,-0.24415506233546935,-0.13007683555285254,0.059347300479807075,0.024797956106295205,-0.000606911862526649,0.07257928982031414,0.18950137078283547,-0.007935557669620508,0.36472637330701474,0.13124051543530868,-3.007061661073132e-07,0.0027539481040244063,0.4997311433156426,0.24803285366857253,0.23448709740795337,0.5013800011782479,0.43423542686732475,0.0697432692933404,0.6250777618782024,0.3617090132130869,0.4042023893379536,0.01813794229400356,0.17247608414796112,0.10641429474664574,0.13264418457864258,0.07950508863856731,0.37977303075936053,0.4480271659290711,0.44093842336109734,0.41588926145008465,0.16622585797200626,0.06632557172942732,0.16848394795190025,0.35353888207079187,0.30330796523091763,-0.015542410377275218,0.06327523430433324,0.22425294530815165,-0.0033516450867754344,-0.13868111566420804,-0.0618243894352597,0.2088298069522594,-0.05307135155655729,0.20324443980016405,0.15373663997852383
Colombia,0.877241969108582,0.914964973926544,1.01969230175018,1.02491009235382,0.428804099559784,0.5953649774054508,0.0880695809131471,0.462376564741135,0.251382976770401,0.5797037771929094,0.568741917610168,0.42472767829895,0.413980782032013,0.357651084661484,0.378929793834686,0.47372767329216,,0.601417481899261,0.635128855705261,0.343110471963882,-0.39559269696474075,,,,0.6437758768086326,0.028750701933645928,0.5620633627264944,0.267482250928879,0.6012967774967954,0.464501351118088,0.47959166765213,0.456074863672256,0.489192128181458,0.480516344308853,-0.252631008625031,-0.249761611223221,,,,-0.040699128061533,-0.273360997438431,-0.0879794433712959,-1.2691304944455624,-1.2691304944455624,1.74927163208519e-26,2.80562818649318e-32,,,,0.0363626666367054,1.1605449117269e-06,0.0001358529407298,-2.204658636590466,-2.204658636590466,0.0,6.60891026359444e-26,,,8.628364115281379e-16,1.00027991720708e-05,,,0.0,0.0888258740305901,0.0751877874135971,0.0447882786393166,0.0360188111662865,0.463383823633194,0.0845902562141418,,,0.0020392505712066855,0.0687355399131775,0.4775413947190472,0.0509464368224144,0.0480817072093487,0.699287235736847,0.413408607244492,,,0.311140060424805,0.313634634017944,,,0.899594128131866,0.559661865234375
Costa Rica,0.751701593399048,0.817418456077576,0.985283970832825,1.0721549987793,0.39116570353508,0.491208583116531,0.411945402622223,0.359986156225204,0.462051063776016,0.339841365814209,0.581141352653503,0.407330960035324,0.35441267490387,0.292896777391434,0.303177535533905,0.498934328556061,0.4463347152011785,0.694892729234974,0.609518450254585,0.41138484725478186,0.24117734656298095,0.518693375116901,0.7250886303141595,0.5883048008259082,0.627415180206299,0.428181827068329,0.375202417373657,0.636434853076935,0.406127721071243,0.522304773330688,0.424691557884216,0.443152546882629,0.528353691101074,0.46229812502861,-0.09099375853064551,-0.22973195720485773,0.23569641116752926,0.34842169665052225,-0.0606374847890514,-0.15534536819360412,-0.16695775392285572,-0.05033687415004451,-0.004934489067391468,-0.183728130249996,0.3979300817975755,0.08403038485870695,0.4828102167422017,0.5448051926672903,0.3097817826218261,-0.0016003935064876629,0.054071875999722296,0.15496966601218531,1.2066486169640314,0.5543231581162693,-0.030022303892842217,0.043274143016982514,0.1423145231225149,0.0979712251132625,-0.20926884994571537,0.3439033429879821,0.05676054674431441,-0.1613232050332698,0.0,0.220507264137268,0.154352322220802,0.17109639942646,0.113519832491875,0.7649966854798169,0.6083294881714707,0.5411385462248219,0.7964813678784477,0.26664325594902,0.0542958527803421,0.372675180435181,0.665247023105621,0.322835594415665,0.5163636398202129,0.5607123135300434,0.36797187916610596,0.4503877646030716,0.5918121411525021,0.47989486698170225,0.5598498747074814,1.2891532879000636,0.977077186107636,0.510650277137756
Dominican Republic,0.7948916225978744,0.69988057046967,1.2308056089912611,1.275681034603636,0.4615398718424766,0.656760349850451,0.5731724860751459,0.5343629858163794,0.605555551095275,0.4802914733720165,0.6859689845583983,0.5271024782527212,0.4165269134273135,0.3238759645232241,0.34102340938547115,0.5363320423320452,0.5283935584436534,0.7464125123602399,0.7484232879249303,0.39768750956777765,0.31878736440599553,0.9486225279139688,0.8134122427751329,0.7659095085231478,0.7321237133668896,0.5691439305055024,0.5358621063624156,0.7507471874799627,0.5742274737142192,0.4546636731968423,0.48153557516567247,0.49612326107609306,0.6062528976048949,0.6513975691622917,-0.3655759552262232,-0.21966852829213224,0.3040414591408478,-0.3528890366296791,-0.06830378271881798,-0.05532814252559426,-0.03185503218080754,-0.02423312568806324,-0.12535334863650327,-2.3265306428074837,0.08808768469185857,0.2532832165108836,0.04679892806349528,0.09026305696533754,0.5233219941831351,0.5311373676560436,0.6601394000535379,0.38946144983511033,0.4976332106627481,-1.3405339121818542,0.12258313253322228,0.5482274732447774,0.16419046645414426,-0.0607133019423145,0.41895342401487845,0.3188022650003326,0.1844450647264324,0.28966080535680305,-0.000251710813400044,0.2497498291202742,0.19803868246956968,0.1674914770704068,0.08653295084254764,0.6281924768665146,0.594255247588694,0.6795886072181385,0.7211013150638372,0.17457925583227407,0.17325731967352942,0.17478002079631239,0.6283546882027338,0.29865282789393177,0.5743035007113804,0.12276277754830645,0.3034186508704906,0.9873401813352274,-0.13546664879943915,-0.17343770620694166,0.22390216215034542,-0.023076669186806953,0.1675727663496005,-0.22804098229040193
Ecuador,0.86760538816452,0.906862854957581,0.893099725246429,0.960159420967102,0.333183646202087,0.526229858398438,0.340895771980286,0.509231328964233,0.550453126430511,0.524904251098633,0.41070356965065,0.354007512331009,0.355034202337265,0.269392460584641,0.269414156675339,0.43278306722641,0.3864656537771225,0.6131171197143956,0.6962740609650802,0.29421082865539283,0.15555986762046814,0.7322626709938049,0.649214267730713,0.615722179412842,0.532826960086823,0.194884911179543,0.498754501342773,0.527628660202026,0.655586123466492,0.430319964885712,0.411852598190308,0.536855220794678,0.461227744817734,0.32175076007843,-0.19675557364490892,-0.11896877185848354,-0.17520669507497644,-0.23078202555289828,-0.08485563471913338,-0.08085751091265925,-0.13038605115721857,-0.16065901128782176,-0.1665930077433586,-0.22911829501390457,0.017637690547561036,0.36987472363249907,0.3325763840394558,0.023785869887360533,0.042498717084527016,0.09322719651509637,0.14945980702436606,-0.004028146232451846,0.1702960878610611,0.3417733758687973,-0.010867334568150255,-0.06373466050247245,0.07398316092297108,-0.07767557452149276,0.002099863463371321,-0.009540936385917576,0.1946323603628599,0.01663791358126332,0.0,0.211165770888329,0.149156972765923,0.0937309414148331,0.0867570713162422,0.6845766846619785,0.6007737941570142,0.711589932441711,0.703135251998901,0.185370251536369,0.0272837355732918,0.06955935806036,0.593067169189453,0.489479422569275,0.4716268413143041,0.5037787183363207,0.3329426392568333,0.4158385066541683,0.2731248491752254,0.5508471334731979,0.26344696927300504,0.20016261530404478,0.536530792713165,0.46490404009819
Guatemala,0.8665061010335515,0.8365034438003356,0.8908972128377695,0.9501948952674866,0.27831810409945223,0.4419013356895949,0.24201517627854674,0.29694353752746805,0.4812395934893834,0.4227157633115617,0.41142289812971927,0.2310669668382257,0.21773974373330773,0.2586310010978847,0.24901149143290668,0.48448362801133094,,0.6500565805635237,0.6298047245203797,0.29367487418365634,,,,,0.5262618436197917,0.3032944800286774,0.30135458357484135,0.6240175052629251,0.4842281944576312,0.48618296733716804,0.5246540551505436,0.5564398019900167,0.44984861859509795,0.39459556840905385,-0.1694565999594242,-0.24167219128880113,,,-0.0829445826931039,-0.06867755372654116,-0.1626720927082559,-0.132740801025357,-0.0829445826931039,-0.0829445826931039,0.1911507272377868,0.009866918599769292,,,0.44953721917168465,0.18537500491374992,0.4801027358083445,0.13576816412044224,0.44953721917168465,0.44953721917168465,-0.004394042191118608,0.2343764106777222,,,0.0035321128348293485,0.20991655592839198,,,0.0006370700796163864,0.16041973178706526,0.07236291690752261,0.08286099222950671,0.04677356889365403,0.6412188931480856,0.4614037014209071,,,0.1675369541456062,0.022610121312914566,0.219329160948595,0.6410130934138607,0.29136722637870527,0.6343325128207553,0.18709644469824305,,,0.5189515650346763,0.16095237502387238,,,0.6067112322018389,0.3799829754100106
Honduras,1.11281728744507,1.1399998664856,0.944880187511444,1.0,0.319122612476349,0.495612561702728,0.2405349771399301,0.440290868282318,0.511018037796021,0.375677675008774,0.235098570585251,0.311191618442535,0.361516028642654,0.339995682239532,0.352136433124542,0.530286252498627,0.486067563295364,0.600342452526093,0.759874224662781,0.428982555866241,0.22778694331646,0.44410736572284115,0.603864312171936,0.704321622848511,0.670869112014771,0.603117108345032,0.542513608932495,0.581166386604309,0.57729709148407,0.608217597007751,0.464216411113739,0.449192404747009,0.604256212711334,0.505515217781067,-0.0421419031918049,0.0974256545305252,-0.8324315200249259,0.0192615948617458,-0.202488213777542,-0.0759847313165665,-0.0344952940940857,-0.253957450389862,-0.0721379891037941,-1.133915628921585,0.710518479347229,0.602587938308716,1.019374654317886,0.904865443706512,0.0088722612708807,0.345823466777802,0.798408091068268,0.0006021778681315,0.769981801509857,0.345502329181949,0.0211911611258984,0.139771372079849,0.7597474008798741,0.0976827964186668,0.159878879785538,0.23303034901619,1.019374654317886,0.842507123947144,2.4564400162672007e-15,0.200361594557762,0.094222366809845,0.0915957763791084,0.0518576242029667,0.647840023040771,0.666201949119568,0.726117253303528,0.682177305221558,0.256530702114105,0.0791598185896873,0.336594223976135,0.519541501998901,0.476324766874313,0.22728157043457,0.164079129695892,-0.2941008292138463,0.297382324934006,0.222487166523933,0.333967089653015,-0.8324315200249259,-0.0496203824877739,0.221438318490982,0.384677946567535
