Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","P-Value: Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","P-Value: Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","P-Value: Public sector wage premium for females, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for females, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Education (compared to paid wage employees)","P-Value: Public sector wage premium for males, by industry: Health (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","P-Value: Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","P-Value: Public sector wage premium, by gender (compared to all private employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.690822899341583,0.599999964237213,0.856515407562256,0.865384578704834,0.4374740421772,,0.0872721076011658,0.382427155971527,0.477101713418961,0.473606169223785,0.681370198726654,0.464762926101685,0.384759038686752,0.319395184516907,0.27894127368927,0.519952118396759,1.060565104087189,0.71782261133194,0.657863259315491,0.426066994667053,0.0020646552244869554,0.04950233300526463,0.9852284292380205,-1.0259935657183519,,0.217750623822212,0.624156773090363,0.533992409706116,0.608277916908264,0.60200822353363,0.553702235221863,0.532375156879425,0.441537797451019,0.422327905893326,-0.131838202476501,-0.28601348400116,-2.7874968921144614,-2.7874968921144614,-0.159863486886024,-0.107214450836182,-0.123672038316727,-0.159863486886024,-0.159863486886024,-0.159863486886024,0.0062715406529605,1.09024900218913e-09,-4.598488140972563,-4.598488140972563,1.04166490579333e-17,0.000432196073234,7.48332022340037e-05,1.04166490579333e-17,1.04166490579333e-17,1.04166490579333e-17,0.650586009025574,0.0180147532373667,-4.598488140972563,-4.598488140972563,0.981590926647186,0.0055424124002456,-4.598488140972563,-4.598488140972563,0.0451426357030869,0.281444728374481,0.21950089931488,0.219027578830719,0.15403787791729,0.627732813358307,0.4439777135849,-2.0214867716034064,0.12999718139568905,,0.139588445425034,0.469739884138107,0.518657863140106,0.51834237575531,0.0136545486748219,0.0908990874886513,-2.7874968921144614,-2.7874968921144614,-0.0011839465005323,-0.1321761906147,-2.7874968921144614,-2.7874968921144614,0.390166491270065,0.0419271998107433
Bolivia,0.788072109222412,0.724999964237213,0.85057133436203,0.898832678794861,0.322457134723663,0.52063000202179,0.372566133737564,0.3877001958233972,0.525480449199677,0.377113193273544,0.505383431911469,0.393232583999634,0.243098855018616,0.249251797795296,0.217602387070656,0.490093410015106,0.368474990129471,0.588996291160584,0.728296160697937,0.325197666883469,0.144266799092293,,0.573074877262115,0.605041325092316,0.598107814788818,0.484261989593506,0.285670757293701,0.557610809803009,0.539214491844177,0.617064654827118,0.505087316036224,0.481561779975891,0.482320040464401,0.370474576950073,-0.192763701081276,-0.0905341431498528,-0.0990260541439056,-0.313824892044067,-0.144214123487473,-0.102157816290855,-0.154746159911156,-0.142223700881004,-0.44248902797699,,0.034948967397213,0.52757054567337,0.607317328453064,0.0102879274636507,0.0011396628106012,0.0057119894772768,0.0222030114382505,0.0011995271779596,0.107602030038834,,0.001691915327683,0.0081327157095074,0.0018496563425287,3.61321945092641e-05,0.240450352430344,0.132793083786964,0.0138799324631691,0.363128662109375,4.32431124863797e-06,0.347510069608688,0.208684518933296,0.106560371816158,0.0804663598537445,0.798530399799347,0.681076228618622,0.602104902267456,0.78761100769043,0.299225479364395,0.209120869636536,0.3788432447755401,0.659676432609558,0.405658274888992,0.233904004096985,0.20703461766243,0.32184687256813,0.595923840999603,0.102900706231594,0.210844352841377,0.52533084154129,0.108634360134602,0.34950977563858,0.140125080943108
Brazil,0.77071487903595,0.797041654586792,0.726210117340088,0.749599993228912,0.447821408510208,0.619279742240906,0.005063126191785727,0.427474290132523,0.565229475498199,0.433829605579376,0.562553703784943,0.526986539363861,0.462109386920929,0.348572552204132,0.317540556192398,0.576346755027771,,0.788244128227234,0.744697511196136,0.406157940626144,,,0.8030208649534158,0.7063610336326747,0.608489513397217,-0.07802899788509166,0.468798995018005,0.737443208694458,0.603860020637512,0.658849358558655,0.622415661811829,0.62305361032486,0.539488732814789,0.432860642671585,-0.237692326307297,-0.257796555757523,-0.33563829660907407,-0.30093190585425944,-0.307840943336487,-0.218566030263901,-0.223508179187775,-0.307840943336487,-0.307840943336487,-0.307840943336487,0.0,0.0,-5.029190274404884e-06,-2.1017576159938246e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.7318369011749102e-25,2.8376639579774696e-11,0.00927933006765258,0.10539579645223096,0.123806945979595,0.286203145980835,0.8235951173134666,0.7234372831439941,0.0,0.224475249648094,0.147160723805428,0.165457800030708,0.0933408811688423,0.7326649603965651,0.404330849647522,0.5136112890913687,0.7581736854440544,0.22650820016861,0.076541468501091,0.198679059743881,0.582709968090057,0.418846845626831,0.0983407720923424,0.0687902197241783,0.13456396973406004,0.16199563533104566,0.0263224262744188,-0.0233906898647547,0.028850437829112785,0.018210721134934715,0.204338401556015,0.24682155251503
Chile,0.7589959330820686,0.7868646429505599,0.7819281924329395,0.8214116056054013,0.43671676309505436,0.6460125266253858,0.5035895928620144,0.3872134786141359,0.506052151587169,0.5023639204043757,0.6149408188505596,0.4390585652171879,0.41442646237875636,0.3252413809684635,0.3446610169861346,0.5773304492379623,0.48789194226265,0.742375910282135,0.728856086730957,0.408616572618485,0.233595907688141,0.447368413209915,0.694060742855072,0.660420536994934,0.759509884001556,0.5364732753864629,0.2966030841185286,0.6561465637941932,0.6519800445759998,0.6974997673550796,0.6095708523409051,0.5274623861124139,0.5877413855134357,0.45515988788812756,-0.18764151614731084,-0.31485677348007357,-0.23120695789008394,-0.09438194785840182,-0.23763430615266046,-0.048950305371056047,-0.2333683404343292,-0.24755005271253694,-0.1210493097702674,0.04255053649345797,0.02522085173671662,-0.0008348883331900647,0.07164220571004631,0.1964788146267189,-0.012713241079847393,0.3913379062111133,0.13474365268409816,-4.678728232062148e-07,0.0011244315343597044,0.42399175961813285,0.2568022800189702,0.21896889895315041,0.5286052333640185,0.45641821802500004,0.05571943753409059,0.6420221451537529,0.3749885998967457,0.43334593656872045,0.019525825973932154,0.206202447414398,0.129427954554558,0.158823132514954,0.0969080477952957,0.460955500602722,0.554194867610931,0.597537159919739,0.496202886104584,0.185839533805847,0.0729665160179138,0.247355788946152,0.438665479421616,0.349428355693817,-0.013504282287013503,0.0688363725954435,0.2502055978898454,0.0029399447134821344,-0.14162188673449094,-0.06012411601387724,0.23981474338309283,-0.03952254539564848,0.20532307979652398,0.15643914880438636
Colombia,0.895433485507965,0.918532371520996,0.989408552646637,1.00402903556824,0.430151104927063,0.6030551166098341,0.08722874295409122,0.540280044078827,0.245287299156189,0.5810061866275782,0.556239128112793,0.429758816957474,0.434818655252457,0.35000804066658,0.380016714334488,0.485165953636169,,0.608746588230133,0.697238743305206,0.346239119768143,-0.44280147552490234,,,,0.6652634614523407,0.025784477837711428,0.550359725952148,0.344441652297974,0.6037744241356346,0.488330900669098,0.493023008108139,0.445566713809967,0.491213500499725,0.507026195526123,-0.322074472904205,-0.199485391378403,,,,-0.0685435682535172,-0.228377252817154,-0.0988918095827103,-1.3495046868920326,-1.3495046868920326,0.0,7.08629081103476e-23,,,,0.0003185396199114,2.02687606360996e-05,4.72123865620233e-05,-2.3745503462851048,-2.3745503462851048,0.0,8.08947007807494e-23,,,2.10847724702035e-06,0.0010747697670012,,,0.0,0.0858248919248581,0.0699411183595657,0.0434892140328884,0.0332683399319649,0.460017919540405,0.0776813104748726,,,0.0016708717966210651,0.0906715840101242,0.46787007156659755,0.0779475793242455,0.0462232604622841,0.692468047142029,0.342066407203674,,,0.186439216136932,0.260203540325165,,,0.830566167831421,0.553661108016968
Costa Rica,0.749793171882629,0.840797126293182,1.0635838508606,1.16680097579956,0.364090979099274,0.4795679307954259,0.4302615242642034,0.29599823629440536,0.4762381696423841,0.3666235901588628,0.660334408283234,0.307540595531464,0.324273556470871,0.289814859628677,0.26643905043602,0.464560210704803,0.4519588252336142,0.6937461394702864,0.6102130109029125,0.4164938651717591,0.24263447892845136,0.520644234983545,0.7224526494965504,0.5904107340296414,0.6395338884619783,0.4451837002537973,0.4432805644911386,0.6403442184592398,0.4624290095512258,0.454169720411301,0.34051451086998,0.4205242395401,0.560824155807495,0.479437291622162,-0.08597081716162158,-0.23243555674708194,0.24185680266883658,0.3619042565920054,-0.0524774930645755,-0.15472528882581282,-0.1655451031601456,-0.04319581488429236,-0.0020169378643419833,-0.1990726073517628,0.4162935405776693,0.06369985893006458,0.5074068653500703,0.5553370281157655,0.330608629781203,-0.0027643111926725084,0.054909958996867125,0.16398999513554102,1.281645779469926,0.554122475529076,-0.04854486603922936,0.04267970112098207,0.12002516682225206,0.08619788299485975,-0.2737704990777843,0.35449445702844073,0.0360559588648286,-0.19203397773082997,0.0,0.247915983200073,0.178665861487389,0.194667235016823,0.131342068314552,0.7624547106829302,0.5945345744674597,0.5211519670665723,0.7928277406477395,0.24165552300076065,0.04610452168556112,0.4611915869768275,0.6482628251230995,0.2999296507170035,0.5451571628054381,0.5727156786764915,0.39259967373433113,0.4751452511540606,0.6290478780717308,0.4940357551685466,0.5880908563985159,1.3504630468533776,1.25346565246582,0.441030472517014
Dominican Republic,0.7982046510249541,0.696632744323388,1.2547465522131915,1.293268910516339,0.46528631749194016,0.6573381790214182,0.5777578434074382,0.5464954168799636,0.6115591003623386,0.47683070486298185,0.6918744785849285,0.5300830910167589,0.4208258325756127,0.3261885968109368,0.3442595047946986,0.5406635907456749,0.537587828766668,0.7500931866775602,0.7487071683068248,0.40474473839327985,0.3279514275535327,0.9874601746436014,0.8226278843611645,0.7751485874314241,0.729307772579662,0.5759699856247966,0.5465484649752597,0.7609389475986532,0.5738780312673859,0.4486343645933619,0.48646913094287747,0.5007129146719169,0.6111207254109718,0.6661177779030858,-0.3704000597213497,-0.21043702022519994,0.34231636739750115,-0.35398906082267523,-0.05256849551055609,-0.05001327358709773,-0.018711466943440058,-0.00718664330756269,-0.12843301169045152,-2.5158016197383404,0.09111483607140514,0.26724542134348894,0.00699711169187367,0.08391895836146901,0.5616806200680173,0.559494785465624,0.7060292894474998,0.42222759865738624,0.5174110651249038,-1.5148371458053589,0.10790812228141533,0.5441097309316927,0.1324631757286241,-0.09536087903514101,0.42644922777668626,0.3316470706601855,0.16398138921606176,0.2735032805785025,-0.00030189460147771185,0.25255455812321426,0.2001004946631988,0.1691880475925065,0.08701655567938615,0.6326048764956784,0.5932770914579992,0.6806160180173679,0.7262932889207558,0.17156247717519868,0.1741685471937231,0.1686157357685012,0.6376587855322384,0.2920739700846653,0.6122016032132649,0.13294241449757038,0.331884364250314,1.050810106220439,-0.1348555744124149,-0.1681654709132303,0.2487225157544728,-0.011562212459342192,0.1795577868245779,-0.2343644566251264
Ecuador,0.914160907268524,0.931607186794281,0.912931859493256,0.975999891757965,0.323888868093491,0.477345883846283,0.328048884868622,0.41706195473671,0.496749818325043,0.511081278324127,0.365607380867004,0.352439105510712,0.365406394004822,0.26711368560791,0.259452432394028,0.445900678634644,0.372560650110245,0.612051129341125,0.716830968856812,0.292861580848694,0.168980672955513,0.723905742168427,0.658822894096375,0.761203110218048,0.555476129055023,0.208629816770554,0.442542523145676,0.577161431312561,0.667343378067017,0.430453538894653,0.471273481845856,0.515844523906708,0.452514380216599,0.361378133296967,-0.265020996332169,-0.186546593904495,-0.0738531798124313,-0.289803326129913,-0.0884516686201096,-0.0967346727848053,-0.0508896484971046,-0.182081460952759,-0.199600324034691,-0.329867124557495,0.0001515749900136,0.135123208165169,0.71721875667572,0.0008088069735094,0.0504621006548405,0.0010136885102838,0.377311319112778,0.0007780643645673,0.132138103246689,0.213294237852097,6.016291641714211e-15,5.49348904144153e-08,0.0252568852156401,3.3095745653570504e-14,0.103000961244106,0.093667097389698,0.0890465751290321,0.0907643362879753,0.0,0.231034129858017,0.151717886328697,0.0997554659843445,0.0885395854711533,0.683718860149384,0.668867945671082,0.794633328914642,0.726756930351257,0.213036134839058,0.0387213341891766,0.335619628429413,0.652538180351257,0.530311703681946,0.431805938482285,0.500808537006378,0.270172327756882,0.45332133769989,0.127915188670158,0.274844974279404,0.375811070203781,0.163877472281456,0.54416412115097,0.50423127412796
Guatemala,0.87617826461792,0.828636944293976,0.932863593101501,0.982061505317688,0.264332175254822,0.441076278686523,0.233225107192993,0.306152254343033,0.477905184030533,0.397978842258453,0.388081192970276,0.214623853564262,0.192992925643921,0.24962554872036,0.239373609423637,0.47045361995697,,0.618117570877075,0.599378347396851,0.285665929317474,,,,,0.518213033676147,0.284022182226181,0.295169621706009,0.581566751003265,0.598215520381927,0.462895095348358,0.489284127950668,0.506151676177979,0.465260893106461,0.404168784618378,-0.221598371863365,-0.138215094804764,,,-0.07888165663370472,-0.0889579132199287,-0.0277031362056732,-0.151332259178162,-0.07888165663370472,-0.07888165663370472,0.0022448368836194,0.0763346552848816,,,0.45729099542606555,0.0540033578872681,0.700546503067017,0.0007752627134323,0.45729099542606555,0.45729099542606555,1.1743141944412702e-19,0.0003686148265842,,,9.53490655319911e-07,0.164716303348541,,,0.0,0.16526660323143,0.0741377025842667,0.0855477154254913,0.047709047794342,0.62736839056015,0.468179047107697,,,0.190622389316559,0.0121781704947352,0.213004484772682,0.65837150812149,0.414277583360672,0.77504700422287,0.276160269975662,,,0.576807022094727,0.126142829656601,,,0.793220281600952,0.48196092247963
Honduras,1.09002685546875,1.23611116409302,0.779504239559174,0.974285781383514,0.301053762435913,0.424292415380478,0.20248199408362666,0.538609027862549,0.476186841726303,0.355206787586212,0.244848623871803,0.273953497409821,0.340048551559448,0.32855761051178,0.325144857168198,0.571679532527924,0.48452370539307577,0.6595330879092216,0.7549887910485262,0.43697954863309896,0.28889327794313413,0.4378593810475788,0.683885872364044,0.614081263542175,0.746927499771118,0.4887067563831806,0.37226277589798,0.636241495609283,0.609311997890472,0.746413052082062,0.512900650501251,0.48903700709343,0.615237414836884,0.49365296959877,-0.18027079030871374,-0.10056935737375028,-0.9438055257002418,-0.18366975531579932,-0.12517682490870352,-0.07398004815913684,-0.057783612143248675,-0.16228442136198318,-0.06015135655179549,-1.2448755232090036,0.3028524039335636,0.3952275533803924,1.0901730364809339,0.5759393687210519,0.2333359609405079,0.28666075464243335,0.578835202383928,0.057592023783388235,0.5321981134584348,0.34129909257281454,0.006647273919968555,0.1515959130309057,0.7935904264450215,0.029263941617433176,0.03339250538083505,0.14910834087059044,1.0901730364809339,0.5168970438120795,2.07349033276422e-18,0.204635828733444,0.076664075255394,0.0848349779844284,0.0390772111713886,0.6860775619745256,0.6994695499539372,0.503506898880005,0.740578770637512,0.296512633562088,0.0620063990354538,0.153676182031631,0.631059885025024,0.519053339958191,0.4551948867738247,0.2272903949953613,-0.3353588111698542,0.5725543835397922,0.31234543360769607,0.25241427803412364,-0.9438055257002418,0.2961734073857478,0.34662914276123,0.535139620304108
