Country Name,Female to male wage ratio in the private sector (using mean),Female to male wage ratio in the private sector (using median),Female to male wage ratio in the public sector (using mean),Female to male wage ratio in the public sector (using median),"Females, as a share of private paid employees","Females, as a share of private paid employees by occupational group: Clerks","Females, as a share of private paid employees by occupational group: Elementary occupation","Females, as a share of private paid employees by occupational group: Managers","Females, as a share of private paid employees by occupational group: Professionals","Females, as a share of private paid employees by occupational group: Technicians","Females, as a share of private paid employees by wage quintile: Quintile 1","Females, as a share of private paid employees by wage quintile: Quintile 2","Females, as a share of private paid employees by wage quintile: Quintile 3","Females, as a share of private paid employees by wage quintile: Quintile 4","Females, as a share of private paid employees by wage quintile: Quintile 5","Females, as a share of public paid employees","Females, as a share of public paid employees by industry: Core Public Administration","Females, as a share of public paid employees by industry: Education","Females, as a share of public paid employees by industry: Health","Females, as a share of public paid employees by industry: Public Administration","Females, as a share of public paid employees by industry: Public Safety","Females, as a share of public paid employees by industry: Social Security","Females, as a share of public paid employees by industry: Teachers","Females, as a share of public paid employees by occupation: Medical workers","Females, as a share of public paid employees by occupational group: Clerks","Females, as a share of public paid employees by occupational group: Elementary occupation","Females, as a share of public paid employees by occupational group: Managers","Females, as a share of public paid employees by occupational group: Professionals","Females, as a share of public paid employees by occupational group: Technicians","Females, as a share of public paid employees by wage quintile: Quintile 1","Females, as a share of public paid employees by wage quintile: Quintile 2","Females, as a share of public paid employees by wage quintile: Quintile 3","Females, as a share of public paid employees by wage quintile: Quintile 4","Females, as a share of public paid employees by wage quintile: Quintile 5","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","Public sector employment, as a share of paid employment by gender: Female","Public sector employment, as a share of paid employment by gender: male","Public sector employment, as a share of total employment by gender: Female","Public sector employment, as a share of total employment by gender: male","Public sector female employment, as a share of paid employment by industry: Education","Public sector female employment, as a share of paid employment by industry: Health","Public sector female employment, as a share of paid employment by occupation: Medical workers","Public sector female employment, as a share of paid employment by occupation: Teachers","Public sector female employment, as a share of paid employment by occupational group: Clerks","Public sector female employment, as a share of paid employment by occupational group: Elementary workers","Public sector female employment, as a share of paid employment by occupational group: Manager","Public sector female employment, as a share of paid employment by occupational group: Professionals","Public sector female employment, as a share of paid employment by occupational group: Technicians","Public sector wage premium for females, by industry: Education (compared to paid wage employees)","Public sector wage premium for females, by industry: Health (compared to paid wage employees)","Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium for males, by industry: Education (compared to paid wage employees)","Public sector wage premium for males, by industry: Health (compared to paid wage employees)","Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employees)","Public sector wage premium for males, by occupation: Teachers (compared to paid wage employees)","Public sector wage premium, by gender: Female (compared to all private employees)","Public sector wage premium, by gender: Male (compared to all private employees)"
Argentina,0.675478398799896,0.65217387676239,0.852741658687592,0.833333373069763,0.42475900053978,,0.0956580564379692,0.313095211982727,0.437078863382339,0.521233022212982,0.688662528991699,0.47405794262886,0.326772212982178,0.369513362646103,0.233618050813675,0.521601140499115,0.9116154809792788,0.750032663345337,0.662612974643707,0.400263518095016,0.059243420759838,0.193987568219498,0.8553788165251603,-0.6916250983874193,,0.198280692100525,0.5926332586629206,0.473153829574585,0.644695103168488,0.588355660438538,0.581886529922485,0.527841031551361,0.42059251666069,0.416612505912781,0.0707429051399231,-0.196023896336555,-2.149905336399854,-2.149905336399854,-0.1762951173118709,-0.180810496211052,-0.159200757741928,-0.136995807290077,-0.1660776117566933,-0.1927247845673365,0.27514910697937,0.20450396835804,0.221969723701477,0.146331295371056,0.666831433773041,0.416249632835388,-1.4424647067983756,0.1256002510587373,,0.0753711760044098,0.474272608757019,0.5108522772789,0.525691688060761,0.0412429384887218,0.0400410071015358,-2.149905336399854,-2.149905336399854,-0.144037634134293,0.0158995520323515,-2.149905336399854,-2.149905336399854,0.390397101640701,0.0177439134567976
Bolivia,0.7320184546212349,0.6862426853428287,0.8087384855995587,0.8610865361988544,0.3072662561510988,0.5506018046289682,0.3518882708934434,0.3581050762108386,0.47554978976647,0.3525893663366632,0.5158893540501595,0.3632391328331188,0.2501149388651065,0.1937057711184024,0.1933938795700678,0.4787119676669435,0.3604099316239821,0.5805110166045013,0.6739782503142902,0.3030075503926355,0.132906569466936,,0.5563552526365143,0.5796936416724385,0.5981138963252306,0.4947022208943963,0.3410378204055124,0.5676619465303645,0.4616847392171621,0.6143842507153741,0.4956395085901022,0.4727505948394528,0.4623809469242879,0.3479872150346637,-0.1904328481044168,-0.1607509919728524,-0.1015636920928957,0.5209915935992626,-0.1251154387014619,-0.1463937503412538,-0.1510745336461075,-0.1137815909423949,-0.2898444678301013,,0.3533464757104716,0.208443384307126,0.1072344469527406,0.0874462815312047,0.7918057155284437,0.6639884258058757,0.5903961340367712,0.8310328393869124,0.3129525398835531,0.2200520224869251,0.3877514340614869,0.6988537746607371,0.3775861734389139,0.1692588637920025,0.2420153042685626,0.3878404857335766,0.3343301103121874,0.116933480702368,0.2057428820065951,0.3671376531735006,0.0998305252055686,0.3198059922045431,0.09585089438891
Brazil,0.7416634006247138,0.7648639681098377,0.7141071727014565,0.7299730827955351,0.4289033405125542,0.6209841679498753,0.0104187577371193,0.3926909915217411,0.540283756630247,0.3927858402403417,0.5622513309529387,0.5115031744060037,0.4400450695152962,0.3173742742673175,0.283313688069378,0.5769545015713118,,0.7986891074867097,0.7625664954983304,0.4043361455318068,,,0.806600847768306,0.6816491704515375,0.6112685266300844,-0.0027666045252985,0.4792190762259132,0.7374734134558227,0.6455907839657993,0.6553162686322644,0.6422039741930897,0.6084716257677512,0.5404489834422934,0.4320576849661461,-0.2677121729470393,-0.2718581813550624,-0.3353813699025524,-0.2951049292244927,-0.3164216836602773,-0.2207359403139888,-0.2217551383410914,-0.3164216836602773,-0.3164216836602773,-0.3164216836602773,0.227362578265267,0.1394683445663486,0.1631048800883019,0.0896813361395201,0.735912083349999,0.4618445703259706,0.5209337667675666,0.7619661071508437,0.2173461149403657,0.0708568654855952,0.2490373585796312,0.604504117952131,0.4798310511376762,0.0480584876619971,-0.2045076011973599,0.1365231862844953,0.0696285069818642,-0.1163064760589556,-0.2235176720464409,0.0153255454994969,-0.042620791451803,0.170617882452575,0.1895984766698646
Chile,0.744975924491882,0.766666650772095,0.807606637477875,0.838679850101471,0.425979763269424,0.627146124839783,0.520020425319672,0.328216940164566,0.499084621667862,0.467650562524796,0.594330787658691,0.443671345710754,0.397483050823212,0.322847098112106,0.340458303689957,0.564502656459808,0.484757542610168,0.72416877746582,0.746714234352112,0.39760085940361,0.236077517271042,0.461945742368698,0.736108779907227,0.619757533073425,0.749334931373596,0.458576679229736,0.209225565195084,0.64501291513443,0.641966700553894,0.626350283622742,0.594685912132263,0.583545923233032,0.593160629272461,0.427695661783218,-0.232026249170303,-0.2958664894104,-0.226797804236412,-0.182748720049858,-0.188123688101768,0.0169279482215643,-0.290996074676514,-0.240402013063431,-0.170679822564125,0.0936757698655128,0.16155181825161,0.0993510559201241,0.122560240328312,0.0721435323357582,0.378433644771576,0.412656754255295,0.361730635166168,0.435942977666855,0.163925603032112,0.0550410486757755,0.109618201851845,0.341842412948608,0.288628369569778,0.0133767928928137,-0.0395206920802593,0.0217755660414696,-0.005613881163299,-0.220607414841652,-0.0566114336252213,0.0449077077209949,-0.146292760968208,0.15898509323597,0.0721967592835426
Colombia,0.876958072185516,0.917658388614655,0.998385608196259,1.02394795417786,0.413730442523956,0.5722945597923026,0.0905920947903147,0.5579413586242598,0.24379463493824,0.5757965488889036,0.542053997516632,0.397906273603439,0.4092977643013,0.353283643722534,0.365948438644409,0.49076509475708,,0.610244870185852,0.709603309631348,0.348320931196213,-0.253966361284256,,,,0.579313122877501,0.0376493742214503,0.393739700317383,0.259308516979218,0.5938638375802778,0.48757591843605,0.496675163507462,0.449729084968567,0.526344835758209,0.494113028049469,-0.251638174057007,-0.235649183392525,,,,-0.0372786335647106,-0.281323730945587,-0.0691490769386292,-1.0280079171061516,-1.0280079171061516,0.100177831947803,0.0753778666257858,0.0483177490532398,0.0358093939721584,0.498903274536133,0.125132456421852,,,0.0031443868949636,0.116329364478588,0.5065553641763998,0.0743707120418549,0.0632475614547729,0.659145712852478,0.365167558193207,,,0.251481920480728,0.336439877748489,,,0.849001884460449,0.488014042377472
Costa Rica,0.7604163843602799,0.815775048504241,0.979505094666834,1.067362304693594,0.369251809257288,0.4999110272626481,0.4016568862151111,0.2757891322350367,0.4548532378416627,0.3483311754698395,0.5896399325075237,0.3687827245495951,0.3216762788950822,0.2788476470274652,0.2806191053253393,0.507051336232085,0.4294623851038697,0.698332498529036,0.6074347683096022,0.3960577935038483,0.2368059494665693,0.512840795516968,0.732996572766984,0.5819870012147086,0.6343216737156494,0.4581388206101247,0.4468605723390506,0.6458721868334609,0.452158469413062,0.5015986136354194,0.4405788365453968,0.4915886772516815,0.5480680183671152,0.4708623808032026,-0.1060625826377172,-0.2216211585781842,0.2172152366636055,0.3079740168260656,-0.0851174599624791,-0.157205606296978,-0.171195706210987,-0.0717600519472974,-0.0136871426765408,-0.1376946989446885,0.2415595881379069,0.1539297743965261,0.1871254795751635,0.1124008740575168,0.7726226098704752,0.6497142292835107,0.601098283699578,0.807442249570574,0.2553152797645417,0.0576989709320931,0.4790166538510885,0.6764513876244767,0.3039078295602762,0.4299830708645515,0.5247022180906988,0.2940884954614233,0.3761153049500976,0.4801049303947877,0.4374722024211657,0.4751269296343778,1.105224011040164,0.8400364558346354,0.3887460349466849
Dominican Republic,0.797897398471832,0.747770011425018,1.22622573375702,1.222917406865541,0.44773855805397,0.691565752029419,0.546991646289825,0.423344999551773,0.640214145183563,0.469835221767426,0.670042634010315,0.525704264640808,0.391635179519653,0.308408886194229,0.339508146047592,0.495387554168701,0.456746518611908,0.742409467697144,0.755585551261902,0.325587898492813,0.244374960660934,0.8321095877250713,0.755670249462128,0.715286791324615,0.730670094490051,0.525814831256866,0.511447787284851,0.725482821464539,0.558484256267548,0.428706884384155,0.413045436143875,0.42044261097908,0.625,0.600625455379486,-0.336447358131409,-0.359777718782425,0.133768513798714,-0.36113977432251,-0.0086023528128862,-0.0109388483688235,-0.0200056135654449,0.0564983040094376,0.0581679567694664,-1.7587177120149136,0.222595050930977,0.191240653395653,0.151879325509071,0.0877498686313629,0.552071213722229,0.548530638217926,0.688755393028259,0.641128063201904,0.189501255750656,0.166053771972656,0.166160747408867,0.503340899944305,0.344229459762573,0.651747584342957,0.0809754878282547,0.133768513798714,1.20637249946594,-0.143049135804176,-0.362221121788025,0.133768513798714,0.350928246974945,0.215307027101517,-0.186141133308411
Ecuador,0.929191410541534,0.940408229827881,0.87368381023407,0.964285731315613,0.320818245410919,0.555234909057617,0.263474673032761,0.484924852848053,0.5210981965065,0.508513152599335,0.368633896112442,0.339217156171799,0.325297266244888,0.286961883306503,0.276431679725647,0.442313015460968,0.4281806647777557,0.6090316469989605,0.6964203196107227,0.2807362296836277,0.1152974516153335,0.7573334574699402,0.631247222423553,0.697741270065308,0.544130682945251,0.208640769124031,0.503679990768433,0.517682373523712,0.624382674694061,0.47640323638916,0.454247564077377,0.44908994436264,0.480560839176178,0.341301321983337,-0.21427831539477,-0.1656716049094591,-0.2444977551009586,-0.2323630167914263,-0.0740675330162048,-0.0852224496640938,-0.1418353687822522,-0.1602537454002433,-0.0675710588693618,0.073128193616867,0.212120205163956,0.138187497854233,0.106435999274254,0.0852513536810875,0.6678344788686825,0.5646033107160484,0.734474658966064,0.666026890277863,0.213438466191292,0.0334453098475933,0.0594289489090443,0.55388468503952,0.487385600805283,0.4086185802607787,0.4693191972467154,0.3425426350508118,0.3513659521442136,0.2094525530939535,0.4455282606849664,0.1528712388114712,0.1440370981339214,0.460751354694366,0.488251894712448
Guatemala,0.8565180466427069,0.850438349615267,0.8852600314752839,0.9466140866279602,0.2817049329358387,0.4484554621262271,0.2483101485948262,0.3018836117372281,0.4887832953193323,0.4058485074741096,0.4108667497227833,0.2362722899855631,0.2349859849224227,0.2642591776159722,0.2433794270443718,0.4688279476107624,,0.6365887401820878,0.6406123959101162,0.2755094060114196,,,,,0.5176913154319047,0.284881426066887,0.3008425396601885,0.608919576658467,0.4743172307576619,0.4729270884176593,0.5079384693285309,0.5388880229093189,0.4510455778410603,0.3732701114765042,-0.1683457970254486,-0.2245233476787174,,,-0.0951333608712978,-0.0729150910425437,-0.1249632480052795,-0.1321186334988872,-0.0951333608712978,-0.0951333608712978,0.155078237740005,0.0753326379671328,0.0765919728674067,0.0464217683406379,0.6032714293553276,0.4618701953571161,,,0.1741982891065321,0.0220068381224735,0.2058024505774192,0.6035221206948052,0.2763087050459258,0.5707681672973237,0.209334063832161,,,0.4662246997956529,0.1551848266508191,,,0.5649424539348935,0.3577191130659454
Honduras,1.06449401378632,1.15008628368378,1.03264784812927,1.08687496185303,0.30950602889061,0.593313634395599,0.278441697359085,0.340366125106812,0.427634298801422,0.429403454065323,0.259088128805161,0.282646238803864,0.338665723800659,0.345646739006042,0.319939851760864,0.563245058059692,0.469542026519775,0.679586052894592,0.711653470993042,0.436239510774612,0.31815180182457,0.600000023841858,0.609017491340637,0.635951936244965,0.772667288780212,0.450545281171799,0.527312815189362,0.541305124759674,0.654873847961426,0.537756741046906,0.512235879898071,0.549362182617188,0.651246547698975,0.559888601303101,-0.328862518072128,-0.184881553053856,-0.4983095029989783,-0.47786009311676,-0.185630619525909,-0.0756866186857224,-0.066778339445591,-0.184346437454224,-0.193152263760567,-0.8010359460593293,0.207883521914482,0.0835928618907928,0.0844872817397118,0.0381995365023613,0.674256980419159,0.585895001888275,0.826721251010895,0.659420728683472,0.21761080622673,0.0497357845306396,0.280556410551071,0.505145072937012,0.566636323928833,0.426927715539932,0.184215322136879,-0.1703268833458366,0.745483875274658,0.0901863947510719,0.122178882360458,-0.4983095029989783,0.117895267903805,0.329567849636078,0.380610913038254
